Time (s),Along_wind_pr_coef,Cross_wind_pr_coef,Force_along_wind,Force_cross_wind
1908.48,45.950115,-73.45906,0.04355208337665896,-0.0696253996498442
1908.56,47.783752,-69.79548,0.04529002726424184,-0.06615301179184356
1908.64,43.226597,-72.94129,0.0409706992240672,-0.06913465196717658
1908.72,48.24831,-66.35696,0.045730340706686,-0.06289393810007017
1908.8,49.91668,-63.800724,0.04731164160742815,-0.06047110959566249
1908.88,45.660007,-66.653046,0.04327711571094856,-0.06317457505308936
1908.96,48.49244,-62.944683,0.04596172934182694,-0.0596597434682278
1909.04,50.528065,-60.053783,0.04789112014458886,-0.05691971327702933
1909.1200000000001,46.392742,-63.676266,0.04397161063750984,-0.06035314647848343
1909.2,49.450733,-60.23158,0.046870012080430165,-0.05708822994978975
1909.28,48.925808,-60.37723,0.046372481500446656,-0.05722628143449921
1909.3600000000001,48.342934,-59.963448,0.0458200260840423,-0.056834091853075495
1909.44,50.980183,-56.65043,0.048319643060302155,-0.05369397195751345
1909.52,48.68442,-59.191845,0.04614369249386122,-0.056102757405857774
1909.6000000000001,51.524956,-55.64447,0.0488359856950482,-0.05274051208566827
1909.68,50.772255,-55.478928,0.048122566629600294,-0.05258360877441029
1909.76,47.141087,-58.137505,0.04468090066845096,-0.05510344066479226
1909.8400000000001,51.766415,-52.73252,0.04906484339835485,-0.049980530920381815
1909.92,52.803413,-51.247368,0.050047723544965145,-0.04857288448402369
1910.0,47.343338,-55.45322,0.044872597061196506,-0.05255924313207995
1910.08,48.067303,-53.225292,0.045558779684490625,-0.050447585465463636
1910.16,47.61521,-53.15645,0.04513028207809566,-0.0503823344271589
1910.24,46.7989,-53.097992,0.04435657260073821,-0.05032692871368952
1910.32,46.66296,-52.016422,0.044227726476671725,-0.049301803699148126
1910.4,43.00392,-55.584988,0.04075964481840629,-0.05268413377125113
1910.48,44.408455,-53.791607,0.042090878807070485,-0.05098434548887854
1910.56,44.642967,-53.387856,0.04231315247199109,-0.05060166497991792
1910.64,40.257656,-58.64009,0.038156700742203335,-0.05557979819217352
1910.72,44.62916,-54.975857,0.04230006755440784,-0.052106792063681955
1910.8,46.67277,-54.109413,0.04423702584335426,-0.05128556614894427
1910.88,40.704773,-60.692482,0.03858048358415271,-0.05752507963123783
1910.96,42.564022,-59.7679,0.040342702723643285,-0.056648748099233995
1911.04,41.089714,-62.979134,0.03894533548614925,-0.05969239610450696
1911.1200000000001,40.251354,-65.98125,0.038150727743074424,-0.06253783599098645
1911.2,40.52754,-67.14822,0.03841249840707749,-0.06364390382120515
1911.28,39.31707,-70.04218,0.037265201697278316,-0.06638684096839613
1911.3600000000001,40.465034,-70.33047,0.03835325652407072,-0.0666600803692254
1911.44,43.069016,-69.11686,0.04082134170529231,-0.0655098080067125
1911.52,37.05149,-76.3039,0.035117857891798596,-0.07232177488251817
1911.6000000000001,42.6519,-69.9824,0.040425995690309566,-0.06633017702024344
1911.68,42.784172,-69.174614,0.040551363590912354,-0.06556454844667114
1911.76,35.958607,-75.62503,0.034082008957513656,-0.07167833246667131
1911.8400000000001,37.303413,-73.925446,0.03535663323227874,-0.0700674449727864
1911.92,37.305977,-73.48141,0.03535906292683965,-0.06964657993368024
1912.0,36.750664,-74.67185,0.03483273034258201,-0.07077489827033921
1912.08,36.930016,-74.54301,0.03500272218704012,-0.07065277719371811
1912.16,37.030624,-75.59182,0.03509808046732212,-0.07164685490588665
1912.24,37.728638,-75.54166,0.03575966604880391,-0.07159930954357117
1912.32,40.129894,-71.851204,0.03803560650078358,-0.06810145328008382
1912.4,35.46334,-75.84137,0.03361258979897524,-0.07188338133265117
1912.48,38.85799,-70.64601,0.036830080280711344,-0.0669591569684658
1912.56,40.082203,-68.11703,0.037990404058223265,-0.06456215481561853
1912.64,35.5559,-72.66392,0.033700319127585324,-0.0688717532306988
1912.72,38.420757,-70.2545,0.03641566550216572,-0.06658807897415694
1912.8,39.837772,-68.72187,0.037758729789346746,-0.06513543256978524
1912.88,36.914318,-71.84383,0.03498784392347144,-0.06809446067698738
1912.96,37.741127,-71.10035,0.035771503578554534,-0.06738978417321848
1913.04,36.315998,-73.09465,0.0344207488742142,-0.06928000699803641
1913.1200000000001,37.979797,-71.885765,0.03599771826590282,-0.06813421076925329
1913.2,39.846813,-70.7687,0.037767298801414245,-0.06707544243940045
1913.28,36.088306,-75.44325,0.034204939932321723,-0.0715060410898609
1913.3600000000001,38.960743,-73.07296,0.03692747053769458,-0.0692594486003082
1913.44,41.208347,-71.57634,0.039057777556312664,-0.06784093361953028
1913.52,36.36354,-78.58908,0.03446581030771517,-0.07448769572766153
1913.6000000000001,41.11694,-75.69061,0.03897114014400822,-0.07174049215252133
1913.68,43.48511,-74.91652,0.041215722350561125,-0.0710067967074639
1913.76,39.48381,-80.3398,0.0374232403122448,-0.0761470469505561
1913.8400000000001,43.673748,-78.6489,0.04139451460656874,-0.0745443958319833
1913.92,43.339806,-81.47059,0.041077999886990124,-0.07721882427003715
1914.0,43.77225,-83.057,0.041487877066318554,-0.07872244364155133
1914.08,46.12103,-83.66348,0.04371407747652075,-0.07929727611098766
1914.16,46.256947,-86.20558,0.04384290190688579,-0.08170670875475818
1914.24,48.44996,-86.56928,0.04592146583196039,-0.08205142890182145
1914.32,50.615078,-86.83555,0.04797359236621745,-0.0823037989618686
1914.4,47.13611,-92.81677,0.04467618228838847,-0.08797287656488367
1914.48,52.678604,-88.79652,0.04992942779103071,-0.08416242852616083
1914.56,55.162693,-88.98907,0.052283877748509885,-0.08434493040511415
1914.64,50.68375,-95.9292,0.04803868070176141,-0.09092287286105433
1914.72,53.84058,-94.98573,0.0510307627787193,-0.09002864402536519
1914.8,55.478596,-95.07636,0.052583294215739464,-0.09011454385182077
1914.88,55.120926,-96.28311,0.05224429035900476,-0.09125831533513648
1914.96,55.38237,-97.03527,0.05249209027928259,-0.09197122098298371
1915.04,55.25041,-97.76559,0.05236701524364919,-0.09266342360842651
1915.1200000000001,53.74777,-99.339165,0.0509427948193934,-0.0941548800446685
1915.2,55.119965,-97.915375,0.05224337922354443,-0.0928053944218622
1915.28,51.824898,-101.630554,0.04912027442114258,-0.09632668711413502
1915.3600000000001,55.573418,-97.961716,0.052673167605174875,-0.09284931693603775
1915.44,56.802467,-96.7495,0.05383807598492376,-0.09170036065807868
1915.52,52.559715,-100.80594,0.049816743474534596,-0.09554510643877295
1915.6000000000001,55.124767,-96.77405,0.05224793128522924,-0.09172363076848646
1915.68,56.580235,-93.907074,0.05362744099082395,-0.08900627772652316
1915.76,50.93398,-99.42406,0.04827585070833523,-0.09423534198329728
1915.8400000000001,52.102516,-96.347855,0.049383404557102335,-0.09131967958526714
1915.92,50.17729,-96.56907,0.047558653323220436,-0.09152934920965304
1916.0,50.785587,-95.37588,0.04813520321068718,-0.09039842762882165
1916.08,52.16016,-93.51612,0.04943804014417071,-0.0886357276122826
1916.16,50.24871,-94.96799,0.0476263449029368,-0.09001182417551792
1916.24,51.745228,-92.32254,0.04904476226205827,-0.08750443723852681
1916.32,52.452744,-90.435646,0.0497153543452532,-0.08571601572331758
1916.4,47.214985,-95.26186,0.04475094239915631,-0.09029036407073156
1916.48,51.26269,-89.011795,0.04858740841713557,-0.0843664722506408
1916.56,51.53757,-87.307045,0.048847942540156744,-0.08275068921146497
1916.64,46.262524,-90.52214,0.04384818793880254,-0.08579799622104695
